method,eval_id,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,rmse_mean,rmse_std,r2_mean,r2_std,mae_mean,mae_std,total_fit_time
grid,1,7,0.08,2.0,0.8,0.8,1.2304195812080712,0.04337687864162794,0.399675003754779,0.044569575519109686,0.892526935568997,0.0328145869305792,5.9383225440979
grid,2,7,0.08,2.0,0.8,1.0,1.2269807178573828,0.04375794110351015,0.40330339965559714,0.040738799458087026,0.8892142506814652,0.03123403932696287,5.940281867980957
grid,3,7,0.08,2.0,0.8,1.2,1.2297338652971068,0.04311070862665696,0.40053996890632726,0.041709574268791225,0.8919441907363697,0.030890653089855422,5.946305751800537
grid,4,7,0.08,2.0,1.0,0.8,1.2300705947941561,0.04184466673602177,0.4000448756222247,0.043425060128335455,0.8930875640970983,0.03206494658762856,5.987027883529663
grid,5,7,0.08,2.0,1.0,1.0,1.2274414594619063,0.040660532687879045,0.4026856558767461,0.04161163086637211,0.8905774866099204,0.03096096615230927,5.789860963821411
grid,6,7,0.08,2.0,1.0,1.2,1.231175017417919,0.04343130266966041,0.3989219044420676,0.04494099720555936,0.8941460110058854,0.03314719207332571,5.657904386520386
grid,7,7,0.08,2.0,1.2,0.8,1.233563164871398,0.043055785251770284,0.3965159739512431,0.045889961967740145,0.8951599744845474,0.03468269311854969,5.738079786300659
grid,8,7,0.08,2.0,1.2,1.0,1.2346789726046243,0.046515980958595916,0.39511389250679957,0.051389475075622554,0.8975477907759453,0.0385850204473688,5.688233137130737
grid,9,7,0.08,2.0,1.2,1.2,1.228571303218538,0.04312774890656778,0.40154028649701046,0.043573308812238434,0.8915937849131973,0.03303586563044857,5.702460527420044
grid,10,7,0.08,3.0,0.8,0.8,1.2294784525499884,0.04321208498578939,0.400753318481346,0.042329605947785204,0.8921718791212001,0.0314028624388008,5.69562029838562
grid,11,7,0.08,3.0,0.8,1.0,1.2291443995262408,0.042854890867616714,0.4009960378748231,0.04323417351401455,0.891756524923719,0.031798385714231034,5.636128902435303
grid,12,7,0.08,3.0,0.8,1.2,1.228412092766254,0.043556560858053324,0.4018017643560137,0.042279538875221866,0.8915527250333278,0.031639642462278524,5.672948360443115
grid,13,7,0.08,3.0,1.0,0.8,1.2287533882627126,0.04300742467872279,0.4014799723735896,0.04185917355939383,0.8915464429703241,0.030754962698325138,5.685700178146362
grid,14,7,0.08,3.0,1.0,1.0,1.2291219872034076,0.043085396740157426,0.40112004177601684,0.0418337650344403,0.8918411806568045,0.031466662862034186,5.751232147216797
grid,15,7,0.08,3.0,1.0,1.2,1.2282371174678368,0.04459458162524813,0.40194573565544883,0.0431084055295016,0.8909693478612845,0.032193811476063046,5.825579404830933
grid,16,7,0.08,3.0,1.2,0.8,1.229138605552072,0.04517262873666385,0.4010656519481938,0.04347840559054284,0.891663299962174,0.03233322279730136,5.841430187225342
grid,17,7,0.08,3.0,1.2,1.0,1.2297836482331415,0.04483623801172883,0.4003755111103926,0.04412397466765072,0.8924505760720441,0.0326260135762052,5.67914080619812
grid,18,7,0.08,3.0,1.2,1.2,1.2286718337371063,0.04458497783123654,0.4015861000598021,0.04225921861802934,0.8908282948144605,0.032616603428683756,5.809755563735962
grid,19,7,0.08,4.0,0.8,0.8,1.2308524706642001,0.043180895247154606,0.39938522989855463,0.042743907188056166,0.8935894782239175,0.0315753257681703,5.824054956436157
grid,20,7,0.08,4.0,0.8,1.0,1.229341123456318,0.0431831687094978,0.40091077951522774,0.04186890835846523,0.8911507524897345,0.030624178243878794,5.846268653869629
grid,21,7,0.08,4.0,0.8,1.2,1.2261759657694884,0.044043458765591764,0.4040228132152481,0.04170910313474115,0.8892300085793716,0.032240387207393834,5.732600927352905
grid,22,7,0.08,4.0,1.0,0.8,1.2273709127978587,0.044837903678256935,0.4028962227765117,0.041711689660238874,0.8893250477326584,0.031712754255207046,5.771005392074585
grid,23,7,0.08,4.0,1.0,1.0,1.2263895424164213,0.04416715870495257,0.4038640974679438,0.041084734380932145,0.8886445853074143,0.031232085951563616,6.311648845672607
